Wall time,Step,Value
1716547505.3933465,0,0.09569421410560608
1716547645.1552377,1,0.09048087894916534
1716547784.383377,2,0.08914761245250702
1716547924.7393935,3,0.08727148175239563
1716548063.9359868,4,0.08667349815368652
1716548203.895761,5,0.08560292422771454
1716548343.0845363,6,0.08592166751623154
1716548482.4900734,7,0.08379262685775757
1716548621.838313,8,0.0833071768283844
1716548762.7392113,9,0.08343856781721115
1716548906.5167341,10,0.08237980306148529
1716549050.0736587,11,0.08071408420801163
1716549190.4003952,12,0.08118894696235657
1716549330.6686373,13,0.0799696147441864
1716549472.4385746,14,0.07941021770238876
1716549611.7124205,15,0.07936646789312363
1716549750.878034,16,0.07830648869276047
1716549890.0047634,17,0.0783025324344635
1716550029.6728337,18,0.07797984778881073
1716550170.4806204,19,0.07758019119501114
1716550309.6268768,20,0.07552967965602875
1716550449.3092532,21,0.07597371190786362
1716550588.677069,22,0.07603161036968231
1716550728.0020976,23,0.07632612437009811
1716550867.3627267,24,0.07485099136829376
1716551006.695104,25,0.07548447698354721
1716551148.0889318,26,0.07474399358034134
1716551287.4990823,27,0.07475225627422333
1716551427.0224323,28,0.07392295449972153
1716551566.240288,29,0.07400872558355331
1716551706.5975735,30,0.0738275945186615
1716551846.1660762,31,0.07295055687427521
1716551985.5545237,32,0.07250990718603134
1716552125.466907,33,0.0723382905125618
1716552264.7624063,34,0.07214467972517014
1716552419.6787686,35,0.0718570277094841
1716552562.3261325,36,0.07088550180196762
1716552712.71485,37,0.0715813860297203
1716552856.96795,38,0.07109706103801727
1716553000.0225794,39,0.07103296369314194
1716553143.2504857,40,0.07051753997802734
1716553287.1220453,41,0.07008152455091476
1716553443.5182974,42,0.07024513930082321
1716553586.9251313,43,0.06987403333187103
1716553727.4959233,44,0.07005219906568527
1716553874.1230838,45,0.06931282579898834
1716554013.4571974,46,0.06879354268312454
1716554155.3396847,47,0.06931798160076141
1716554294.4085338,48,0.06898816674947739
1716554445.5888872,49,0.06849533319473267
1716554589.1822708,50,0.06845436245203018
1716554737.2651942,51,0.06840597093105316
1716554877.1451657,52,0.06803418695926666
1716555025.8526323,53,0.06779832392930984
1716555170.8245301,54,0.06801378726959229
1716555312.4547002,55,0.06739087402820587
1716555460.4257486,56,0.06696170568466187
1716555606.0641909,57,0.06680114567279816
1716555748.9893398,58,0.06659312546253204
1716555896.3065097,59,0.06731872260570526
1716556037.616779,60,0.06641019880771637
1716556179.0840375,61,0.06615167111158371
1716556325.7330203,62,0.06609667837619781
1716556470.1724007,63,0.06559839099645615
1716556616.4063103,64,0.06576643139123917
1716556758.085658,65,0.06577190011739731
1716556902.2455587,66,0.06577761471271515
1716557046.7032695,67,0.06681790202856064
1716557189.4027817,68,0.06507953256368637
1716557334.086222,69,0.06477673351764679
1716557479.368459,70,0.06495572626590729
1716557626.34636,71,0.06580652296543121
1716557768.3911142,72,0.06440765410661697
1716557920.4775052,73,0.06447059661149979
1716558070.6631043,74,0.06425998359918594
1716558218.2312245,75,0.06422547996044159
1716558366.1816046,76,0.06461825966835022
1716558512.588335,77,0.06462543457746506
1716558654.2577007,78,0.06387022137641907
1716558800.390074,79,0.06428369134664536
1716558951.7179837,80,0.06337117403745651
1716559100.0558293,81,0.06405865401029587
1716559244.3397942,82,0.0632309839129448
1716559387.4192727,83,0.06336358934640884
1716559540.4067142,84,0.06378136575222015
1716559682.4597304,85,0.06351040303707123
1716559834.451024,86,0.06278718262910843
1716559983.1269715,87,0.06298934668302536
1716560128.4032512,88,0.062484223395586014
1716560272.2884989,89,0.06281143426895142
1716560425.5024445,90,0.06386665254831314
1716560577.7133865,91,0.06310377269983292
1716560724.6807652,92,0.06284169852733612
1716560870.3539238,93,0.06187561899423599
1716561050.0721283,94,0.06310421228408813
1716561198.9970052,95,0.0627414658665657
1716561354.4044802,96,0.0628548115491867
1716561507.132479,97,0.06254245340824127
1716561662.090821,98,0.06243031471967697
1716561810.1857202,99,0.06247309222817421
1716561958.5412617,100,0.0627269297838211
1716562109.9282093,101,0.06217343732714653
1716562258.4223523,102,0.06273846328258514
1716562412.4537122,103,0.061800166964530945
1716562556.7720704,104,0.06138503924012184
1716562699.4542816,105,0.062079038470983505
1716562843.4356887,106,0.06174420565366745
1716562987.6084743,107,0.06204426661133766
1716563130.0352259,108,0.061679657548666
1716563280.5643156,109,0.06129159405827522
1716563423.0552077,110,0.06211750954389572
1716563566.009339,111,0.06248689442873001
1716563705.9325738,112,0.061151470988988876
1716563847.1150143,113,0.06197318434715271
1716563994.8243053,114,0.06151605769991875
1716564138.070167,115,0.06156744807958603
1716564282.9474566,116,0.0612458698451519
1716564422.9236617,117,0.06169186159968376
1716564567.95367,118,0.06063247472047806
1716564713.1647077,119,0.06163225322961807
1716564852.8573854,120,0.06190445274114609
1716565000.2728024,121,0.06150225177407265
1716565149.9413161,122,0.06117697432637215
1716565292.4303024,123,0.06059327349066734
1716565434.1413484,124,0.06078072637319565
1716565573.8665864,125,0.061375752091407776
1716565722.8992207,126,0.06070397421717644
1716565862.732962,127,0.060639359056949615
1716566002.3865814,128,0.060758788138628006
1716566142.2585607,129,0.06037120521068573
1716566282.607516,130,0.061814695596694946
1716566422.0907583,131,0.06163518875837326
1716566563.6917398,132,0.061349932104349136
1716566713.6760876,133,0.061045337468385696
1716566857.5450263,134,0.06092745065689087
1716567000.6826968,135,0.0603124238550663
1716567140.1063044,136,0.06026995927095413
1716567279.6035807,137,0.061409637331962585
1716567424.1260617,138,0.060988135635852814
1716567575.2024596,139,0.06082716956734657
1716567718.4805868,140,0.06224759295582771
1716567858.8591778,141,0.061979301273822784
1716567999.9656358,142,0.0616641566157341
1716568141.1289246,143,0.06104855239391327
1716568282.1209595,144,0.06135796755552292
1716568428.5979056,145,0.06118486821651459
1716568567.9629385,146,0.06042156368494034
1716568710.9662082,147,0.06138056144118309
1716568855.7104435,148,0.06089071184396744
1716569020.3070748,149,0.06072520837187767
1716569161.485984,150,0.06314022094011307
1716569304.2944055,151,0.062398962676525116
1716569443.7515376,152,0.06222652643918991
1716569583.0072007,153,0.06208784878253937
1716569727.6165342,154,0.061560552567243576
1716569867.0454094,155,0.061427973210811615
1716570007.3379722,156,0.062043335288763046
1716570149.893805,157,0.06147010624408722
1716570289.4780514,158,0.06166214868426323
1716570428.987974,159,0.061845362186431885
1716570571.3448482,160,0.06532741338014603
1716570710.4963622,161,0.06442592293024063
1716570849.7096565,162,0.06389818340539932
1716570991.1150446,163,0.06338447332382202
1716571132.061553,164,0.06319133192300797
1716571274.1383116,165,0.06358571350574493
1716571419.8376431,166,0.06345722079277039
1716571561.5454268,167,0.0631665512919426
1716571704.023713,168,0.06273294985294342
1716571843.13954,169,0.06225978955626488
1716571982.7184534,170,0.07278136163949966
1716572124.1059587,171,0.0709061548113823
1716572273.45298,172,0.06993406265974045
1716572415.9076838,173,0.0695752501487732
1716572563.083352,174,0.06892500072717667
1716572703.9192162,175,0.06905821710824966
1716572855.444549,176,0.06882672011852264
1716572995.7439125,177,0.06884302198886871
1716573134.8567064,178,0.06864015758037567
1716573273.9359746,179,0.0684046521782875
